date,max_price,min_price,closing,opening,change_pctg,volume,value,n_deals,stock
2025-11-20,1.18,1.18,1.17,1.18,0.85,"5,200","6,136",3,AIB
2025-11-19,1.17,1.17,1.18,1.17,-0.85,"1,999","2,338.83",1,AIB
2025-11-13,1.18,1.18,1.19,1.18,-0.84,"5,000","5,900",2,AIB
2025-11-10,1.19,1.19,1.2,1.19,-0.83,"5,900","7,021",1,AIB
2025-11-09,1.2,1.18,1.18,1.2,1.69,"2,026","2,402.48",2,AIB
2025-11-06,1.19,1.18,1.18,1.18,0.0,"11,298","13,355.30",13,AIB
2025-11-05,1.18,1.18,1.18,1.18,0.0,"1,000","1,180",1,AIB
2025-11-03,1.18,1.18,1.18,1.18,0.0,"2,501","2,951.18",2,AIB
2025-10-30,1.18,1.18,1.18,1.18,0.0,"3,300","3,894",3,AIB
2025-10-29,1.18,1.18,1.2,1.18,-1.67,201,237.18,1,AIB
2025-10-26,1.2,1.19,1.19,1.2,0.84,"2,960","3,542",3,AIB
2025-10-23,1.19,1.17,1.19,1.19,0.0,"2,624","3,096.32",3,AIB
2025-10-22,1.19,1.17,1.16,1.19,2.59,"2,524","2,957.08",2,AIB
2025-10-21,1.18,1.16,1.19,1.16,-2.52,"6,053","7,066.23",4,AIB
2025-10-19,1.19,1.18,1.2,1.19,-0.83,"5,400","6,406",3,AIB
2025-10-16,1.2,1.2,1.19,1.2,0.84,495,594,2,AIB
2025-10-14,1.2,1.19,1.22,1.19,-2.46,"25,000","29,800",6,AIB
2025-10-13,1.27,1.22,1.23,1.22,-0.81,"4,840","5,913.30",8,AIB
2025-10-09,1.23,1.23,1.23,1.23,0.0,"1,000","1,230",1,AIB
2025-10-06,1.24,1.23,1.2,1.23,2.5,647,798.81,2,AIB
2025-10-05,1.23,1.16,1.16,1.2,3.45,"11,127","13,233.34",9,AIB
2025-10-02,1.16,1.16,1.16,1.16,0.0,"6,000","6,960",4,AIB
2025-10-01,1.16,1.12,1.16,1.16,0.0,"5,986","6,834.32",5,AIB
2025-09-29,1.16,1.13,1.14,1.16,1.75,"11,294","12,950.08",10,AIB
2025-09-25,1.14,1.14,1.13,1.14,0.88,120,136.80,1,AIB
2025-09-24,1.13,1.13,1.13,1.13,0.0,"1,000","1,130",1,AIB
2025-09-22,1.13,1.13,1.12,1.13,0.89,500,565,1,AIB
2025-09-18,1.12,1.12,1.12,1.12,0.0,44,49.28,1,AIB
2025-09-16,1.12,1.12,1.12,1.12,0.0,100,112,1,AIB
2025-09-11,1.12,1.12,1.11,1.12,0.9,"12,294","13,769.28",10,AIB
2025-09-08,1.11,1.11,1.1,1.11,0.91,481,533.91,1,AIB
2025-09-03,1.11,1.1,1.11,1.1,-0.9,"13,800","15,209.51",4,AIB
2025-09-02,1.11,1.11,1.12,1.11,-0.89,50,55.50,1,AIB
2025-08-31,1.13,1.12,1.16,1.12,-3.45,"20,315","22,802.80",9,AIB
2025-08-27,1.16,1.16,1.15,1.16,0.87,"8,997","10,436.52",3,AIB
2025-08-26,1.15,1.15,1.15,1.15,0.0,"2,661","3,060.15",1,AIB
2025-08-25,1.15,1.15,1.18,1.15,-2.54,"4,655","5,353.25",4,AIB
2025-08-24,1.18,1.17,1.15,1.18,2.61,"11,944","14,013.92",8,AIB
2025-08-20,1.15,1.15,1.16,1.15,-0.86,56,64.40,1,AIB
2025-08-17,1.16,1.16,1.2,1.16,-3.33,5,5.80,1,AIB
2025-08-07,1.2,1.2,1.21,1.2,-0.83,"3,525","4,230",1,AIB
2025-08-05,1.21,1.21,1.18,1.21,2.54,177,214.17,1,AIB
2025-08-04,1.18,1.18,1.19,1.18,-0.84,236,278.48,1,AIB
2025-07-31,1.19,1.19,1.2,1.19,-0.83,"7,000","8,330",6,AIB
2025-07-30,1.2,1.2,1.21,1.2,-0.83,"1,000","1,200",1,AIB
2025-07-24,1.21,1.21,1.2,1.21,0.83,"3,000","3,630",1,AIB
2025-07-22,1.2,1.2,1.2,1.2,0.0,"5,465","6,558",1,AIB
2025-07-21,1.2,1.2,1.2,1.2,0.0,"9,995","11,994",6,AIB
2025-07-20,1.2,1.2,1.2,1.2,0.0,"4,575","5,490",3,AIB
2025-07-17,1.21,1.2,1.21,1.2,-0.83,"10,784","13,039.10",4,AIB
2025-07-16,1.25,1.21,1.21,1.21,0.0,"12,969","15,692.61",8,AIB
2025-07-15,1.21,1.21,1.21,1.21,0.0,"3,000","3,630",2,AIB
